City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,saint-francois,46.4154,3.9054,15.69,77,0,0.0,FR,1689976704
310,teluknaga,-6.0989,106.6381,26.77,94,20,2.57,ID,1689976704
311,mogadishu,2.0371,45.3438,24.74,90,71,8.22,SO,1689976466
312,bikenibeu village,1.3673,173.1241,27.98,89,75,1.03,KI,1689976306
313,lobujya,27.95,86.8167,3.56,84,93,1.27,NP,1689976705
314,portland,45.5234,-122.6762,31.27,42,0,2.68,US,1689976285
315,miles city,46.4083,-105.8406,31.54,22,20,2.06,US,1689976705
316,tabas,33.5959,56.9244,34.12,15,0,2.06,IR,1689976127
317,cestos city,5.46,-9.5828,25.28,83,86,5.57,LR,1689976705
318,siem reap,13.5,104.0,24.86,98,100,0.4,KH,1689976706
319,lauro de freitas,-12.8944,-38.3272,27.01,74,75,4.12,BR,1689976706
320,merizo village,13.2658,144.6691,28.32,93,100,4.82,GU,1689976315
321,kostomuksha,64.571,30.5767,11.09,97,100,4.71,RU,1689976706
322,berezovo,63.9381,65.0419,15.33,95,84,1.23,RU,1689976707
323,'ain boucif,35.8912,3.1585,27.96,30,71,2.32,DZ,1689976707
324,akureyri,65.6835,-18.0878,11.96,76,75,2.57,IS,1689976707
325,grande prairie,55.1667,-118.8027,26.1,47,75,3.6,CA,1689976474
326,qalat,32.1058,66.9083,26.69,32,8,5.03,AF,1689976707
327,geraldton,-28.7667,114.6,9.23,100,0,3.6,AU,1689976708
328,bojnurd,37.4747,57.329,22.97,28,0,0.0,IR,1689976708
329,oranjemund,-28.55,16.4333,12.02,56,46,0.78,NA,1689976708
330,nova sintra,14.8667,-24.7167,23.02,83,19,6.95,CV,1689976708
331,bayanaul,50.7889,75.6956,16.3,75,43,5.99,KZ,1689976709
332,salekhard,66.53,66.6019,18.21,88,100,1.22,RU,1689976709
333,saint-pierre,-21.3393,55.4781,19.82,88,75,3.09,RE,1689976709
334,kerikeri,-35.2268,173.9474,11.62,87,35,1.72,NZ,1689976709
335,cerro de ortega,18.75,-103.7667,32.9,56,8,3.61,MX,1689976710
336,namsos,64.4662,11.4957,12.03,94,100,2.06,NO,1689976710
337,shamkhor,40.8297,46.0189,26.2,60,37,3.56,AZ,1689976710
338,mae chai,19.346,99.814,23.57,95,99,0.35,TH,1689976710
339,san patricio,28.017,-97.5169,37.88,40,0,6.52,US,1689976711
340,cortez,37.3489,-108.5859,34.46,13,0,4.12,US,1689976425
341,merowe,18.4833,31.8167,36.33,12,36,4.45,SD,1689976711
342,hermanus,-34.4187,19.2345,10.88,62,98,2.46,ZA,1689976711
343,juegang,32.3174,121.1855,27.77,94,95,3.31,CN,1689976712
344,puerto leguizamo,-0.1934,-74.7819,22.94,96,85,1.02,CO,1689976114
345,pisco,-13.7,-76.2167,21.03,73,0,4.63,PE,1689976712
346,raja,8.4596,25.678,21.93,92,100,1.56,SS,1689976131
347,zalegoshch',52.9008,36.8869,13.74,76,83,3.27,RU,1689976712
348,broken hill,-31.95,141.4333,6.13,67,3,1.93,AU,1689976713
349,adrar,20.5022,-10.0711,36.73,9,3,5.77,MR,1689976713
350,vernon,50.2581,-119.2691,37.39,19,99,1.03,CA,1689976442
351,gaigeturi,33.4644,126.3183,25.03,69,100,4.63,KR,1689976713
352,buala,-8.145,159.5921,27.72,81,88,1.89,SB,1689976714
353,severinia,-20.8094,-48.8028,23.82,40,42,2.31,BR,1689976714
354,grand falls-windsor,48.9332,-55.6649,25.84,73,78,5.26,CA,1689976679
355,leh,34.1667,77.5833,15.94,71,84,2.63,IN,1689976715
356,griffith,41.5284,-87.4237,27.85,58,0,5.14,US,1689976377
357,margate,51.3813,1.3862,15.94,79,98,1.34,GB,1689976715
358,heunghae,36.1125,129.3522,22.84,92,54,0.68,KR,1689976715
359,keflavik,64.0049,-22.5624,12.95,87,100,5.66,IS,1689976716
360,dubbo,-32.25,148.6167,-1.93,100,75,2.06,AU,1689976716
361,qutqashen,40.9814,47.8458,20.11,48,26,2.36,AZ,1689976716
